vtuneCategory,threadcount,inputinfo,metric,value
tr,18,2048,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,18,2048,Computer Name,quartz2770
tr,18,2048,Result Size,4380310
tr,18,2048,Collection start time,00:36:18 22/04/2021 UTC
tr,18,2048,Collection stop time,00:36:20 22/04/2021 UTC
tr,18,2048,Collector Type,User-mode sampling and tracing
tr,18,2048,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,18,2048,Frequency,2095148286
tr,18,2048,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,2048,Metric Name,Metric Value
hpc,18,2048,Elapsed Time,1.338367
hpc,18,2048,SP GFLOPS,0.0
hpc,18,2048,DP GFLOPS,0.0
hpc,18,2048,x87 GFLOPS,0.0
hpc,18,2048,CPI Rate,0.506035
hpc,18,2048,Average CPU Frequency,2854638993.312500
hpc,18,2048,Total Thread Count,18
hpc,18,2048,Effective Physical Core Utilization,5.2% (1.880 out of 36)
hpc,18,2048,Effective Logical Core Utilization,1.9% (1.385 out of 72)
hpc,18,2048,Serial Time (outside parallel regions),1.296s (96.8%)
hpc,18,2048,Parallel Region Time,0.042s (3.2%)
hpc,18,2048,Estimated Ideal Time,0.037s (2.7%)
hpc,18,2048,OpenMP Potential Gain,0.006s (0.4%)
hpc,18,2048,Memory Bound,19.9
hpc,18,2048,Cache Bound,11.0
hpc,18,2048,DRAM Bound,0.0
hpc,18,2048,NUMA: % of Remote Accesses,0.0
hpc,18,2048,Vectorization,0.0
hpc,18,2048,SP FLOPs,0.0
hpc,18,2048,Packed,0.0
hpc,18,2048,128-bit,0.0
hpc,18,2048,256-bit,0.0
hpc,18,2048,Scalar,0.0
hpc,18,2048,DP FLOPs,0.0
hpc,18,2048,Packed,0.0
hpc,18,2048,128-bit,0.0
hpc,18,2048,256-bit,0.0
hpc,18,2048,Scalar,0.0
hpc,18,2048,x87 FLOPs,0.0
hpc,18,2048,Non-FP,100.0
hpc,18,2048,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,18,2048,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,18,2048,Application Command Line,"lud_omp ""-n"" ""18"" ""-i"" ""../../data/lud/2048.dat"""
hpc,18,2048,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,18,2048,Computer Name,quartz2770
hpc,18,2048,Result Size,4955658
hpc,18,2048,Collection start time,00:36:35 22/04/2021 UTC
hpc,18,2048,Collection stop time,00:36:36 22/04/2021 UTC
hpc,18,2048,Collector Type,Driverless Perf per-process sampling
hpc,18,2048,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,18,2048,Frequency,2095147885
hpc,18,2048,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,9,2048,Metric Name,Metric Value
tr,9,2048,Elapsed Time,1.270079
tr,9,2048,Paused Time,0.0
tr,9,2048,Effective CPU Utilization,2.0% (1.430 out of 72 logical CPUs)
tr,9,2048,OpenMP Analysis. Collection Time,1.270079
tr,9,2048,Serial Time (outside parallel regions),1.160s (91.3%)
tr,9,2048,Parallel Region Time,0.110s (8.7%)
tr,9,2048,Estimated Ideal Time,0.101s (8.0%)
tr,9,2048,OpenMP Potential Gain,0.008s (0.7%)
tr,9,2048,Total Thread Count,9
tr,9,2048,Thread Oversubscription,0s (0.0% of CPU Time)
tr,9,2048,Wait Time with poor CPU Utilization,0.020s (100.0% of Wait Time)
tr,9,2048,Spin and Overhead Time,0.350s (16.2% of CPU Time)
tr,9,2048,Application Command Line,"lud_omp ""-n"" ""9"" ""-i"" ""../../data/lud/2048.dat"""
tr,9,2048,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,9,2048,Computer Name,quartz2770
tr,9,2048,Result Size,4088362
tr,9,2048,Collection start time,00:36:56 22/04/2021 UTC
tr,9,2048,Collection stop time,00:36:57 22/04/2021 UTC
tr,9,2048,Collector Type,User-mode sampling and tracing
tr,9,2048,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,9,2048,Frequency,2095147780
tr,9,2048,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,2048,Metric Name,Metric Value
hpc,9,2048,Elapsed Time,1.422269
hpc,9,2048,SP GFLOPS,2.278054
hpc,9,2048,DP GFLOPS,0.0
hpc,9,2048,x87 GFLOPS,0.0
hpc,9,2048,CPI Rate,0.485660
hpc,9,2048,Average CPU Frequency,2764506667.948052
hpc,9,2048,Total Thread Count,9
hpc,9,2048,Effective Physical Core Utilization,3.7% (1.323 out of 36)
hpc,9,2048,Effective Logical Core Utilization,1.8% (1.300 out of 72)
hpc,9,2048,Serial Time (outside parallel regions),1.347s (94.7%)
hpc,9,2048,Parallel Region Time,0.075s (5.3%)
hpc,9,2048,Estimated Ideal Time,0.070s (4.9%)
hpc,9,2048,OpenMP Potential Gain,0.005s (0.3%)
hpc,9,2048,Memory Bound,5.9
hpc,9,2048,Cache Bound,6.7
hpc,9,2048,DRAM Bound,0.0
hpc,9,2048,NUMA: % of Remote Accesses,0.0
hpc,9,2048,Vectorization,100.0
hpc,9,2048,SP FLOPs,11.0
hpc,9,2048,Packed,100.0
hpc,9,2048,128-bit,100.0
hpc,9,2048,256-bit,0.0
hpc,9,2048,Scalar,0.0
hpc,9,2048,DP FLOPs,0.0
hpc,9,2048,Packed,0.0
hpc,9,2048,128-bit,0.0
hpc,9,2048,256-bit,0.0
hpc,9,2048,Scalar,0.0
hpc,9,2048,x87 FLOPs,0.0
hpc,9,2048,Non-FP,89.0
hpc,9,2048,FP Arith/Mem Rd Instr. Ratio,0.402673
hpc,9,2048,FP Arith/Mem Wr Instr. Ratio,0.988983
hpc,9,2048,Application Command Line,"lud_omp ""-n"" ""9"" ""-i"" ""../../data/lud/2048.dat"""
hpc,9,2048,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,9,2048,Computer Name,quartz2770
hpc,9,2048,Result Size,4885667
hpc,9,2048,Collection start time,00:37:11 22/04/2021 UTC
hpc,9,2048,Collection stop time,00:37:13 22/04/2021 UTC
hpc,9,2048,Collector Type,Driverless Perf per-process sampling
hpc,9,2048,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,9,2048,Frequency,2095147770
hpc,9,2048,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,4,2048,Metric Name,Metric Value
tr,4,2048,Elapsed Time,1.272735
tr,4,2048,Paused Time,0.0
tr,4,2048,Effective CPU Utilization,1.6% (1.119 out of 72 logical CPUs)
tr,4,2048,OpenMP Analysis. Collection Time,1.272735
tr,4,2048,Serial Time (outside parallel regions),1.127s (88.6%)
tr,4,2048,Parallel Region Time,0.146s (11.4%)
tr,4,2048,Estimated Ideal Time,0.140s (11.0%)
tr,4,2048,OpenMP Potential Gain,0.006s (0.4%)
tr,4,2048,Total Thread Count,4
tr,4,2048,Thread Oversubscription,0s (0.0% of CPU Time)
tr,4,2048,Wait Time with poor CPU Utilization,0.003s (100.0% of Wait Time)
tr,4,2048,Spin and Overhead Time,0.210s (12.9% of CPU Time)
tr,4,2048,Application Command Line,"lud_omp ""-n"" ""4"" ""-i"" ""../../data/lud/2048.dat"""
