vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,10,256-bit,0.0
hpc,9,10,Scalar,0.0
hpc,9,10,x87 FLOPs,0.0
hpc,9,10,Non-FP,0.0
hpc,9,10,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,9,10,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,9,10,Application Command Line,"myocyte ""100"" ""1"" ""0"" ""9"""
hpc,9,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,9,10,Computer Name,quartz2391
hpc,9,10,Result Size,3316693
hpc,9,10,Collection start time,22:51:23 21/04/2021 UTC
hpc,9,10,Collection stop time,22:51:23 21/04/2021 UTC
hpc,9,10,Collector Type,Driverless Perf per-process sampling
hpc,9,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,9,10,Frequency,2095148340
hpc,9,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,10,Metric Name,Metric Value
hpc,4,10,Elapsed Time,0.024766
hpc,4,10,SP GFLOPS,0.0
hpc,4,10,DP GFLOPS,0.0
hpc,4,10,x87 GFLOPS,0.0
hpc,4,10,CPI Rate,2.000000
hpc,4,10,Average CPU Frequency,4190295502.000000
hpc,4,10,Total Thread Count,1
hpc,4,10,Effective Physical Core Utilization,0.3% (0.101 out of 36)
hpc,4,10,Effective Logical Core Utilization,0.3% (0.202 out of 72)
hpc,4,10,Memory Bound,0.0
hpc,4,10,Cache Bound,0.0
hpc,4,10,DRAM Bound,0.0
hpc,4,10,NUMA: % of Remote Accesses,0.0
hpc,4,10,Vectorization,0.0
hpc,4,10,SP FLOPs,0.0
hpc,4,10,Packed,0.0
hpc,4,10,128-bit,0.0
hpc,4,10,256-bit,0.0
hpc,4,10,Scalar,0.0
hpc,4,10,DP FLOPs,0.0
hpc,4,10,Packed,0.0
hpc,4,10,128-bit,0.0
hpc,4,10,256-bit,0.0
hpc,4,10,Scalar,0.0
hpc,4,10,x87 FLOPs,0.0
hpc,4,10,Non-FP,0.0
hpc,4,10,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,4,10,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,4,10,Application Command Line,"myocyte ""100"" ""1"" ""0"" ""4"""
hpc,4,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,4,10,Computer Name,quartz2391
hpc,4,10,Result Size,3333103
hpc,4,10,Collection start time,22:51:45 21/04/2021 UTC
hpc,4,10,Collection stop time,22:51:45 21/04/2021 UTC
hpc,4,10,Collector Type,Driverless Perf per-process sampling
hpc,4,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,4,10,Frequency,2095147751
hpc,4,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,11,Metric Name,Metric Value
hpc,36,11,Elapsed Time,0.029912
hpc,36,11,SP GFLOPS,0.0
hpc,36,11,DP GFLOPS,0.0
hpc,36,11,x87 GFLOPS,0.0
hpc,36,11,CPI Rate,2.000000
hpc,36,11,Average CPU Frequency,4190294292.000000
hpc,36,11,Total Thread Count,1
hpc,36,11,Effective Physical Core Utilization,0.2% (0.084 out of 36)
hpc,36,11,Effective Logical Core Utilization,0.2% (0.168 out of 72)
hpc,36,11,Memory Bound,0.0
hpc,36,11,Cache Bound,0.0
hpc,36,11,DRAM Bound,0.0
