vtuneCategory,threadcount,inputinfo,metric,value
tr,18,1024,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,18,1024,Computer Name,quartz2744
tr,18,1024,Result Size,3709646
tr,18,1024,Collection start time,20:46:29 21/04/2021 UTC
tr,18,1024,Collection stop time,20:46:30 21/04/2021 UTC
tr,18,1024,Collector Type,User-mode sampling and tracing
tr,18,1024,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,18,1024,Frequency,2095147382
tr,18,1024,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,1024,Metric Name,Metric Value
hpc,18,1024,Elapsed Time,0.205439
hpc,18,1024,SP GFLOPS,0.0
hpc,18,1024,DP GFLOPS,0.0
hpc,18,1024,x87 GFLOPS,0.0
hpc,18,1024,CPI Rate,1.457143
hpc,18,1024,Average CPU Frequency,4452188280.250000
hpc,18,1024,Total Thread Count,18
hpc,18,1024,Effective Physical Core Utilization,3.3% (1.171 out of 36)
hpc,18,1024,Effective Logical Core Utilization,0.8% (0.585 out of 72)
hpc,18,1024,Serial Time (outside parallel regions),0.201s (97.7%)
hpc,18,1024,Parallel Region Time,0.005s (2.3%)
hpc,18,1024,Estimated Ideal Time,0.001s (0.6%)
hpc,18,1024,OpenMP Potential Gain,0.003s (1.7%)
hpc,18,1024,Memory Bound,66.9
hpc,18,1024,Cache Bound,84.0
hpc,18,1024,DRAM Bound,0.0
hpc,18,1024,NUMA: % of Remote Accesses,0.0
hpc,18,1024,Vectorization,0.0
hpc,18,1024,SP FLOPs,0.0
hpc,18,1024,Packed,0.0
hpc,18,1024,128-bit,0.0
hpc,18,1024,256-bit,0.0
hpc,18,1024,Scalar,0.0
hpc,18,1024,DP FLOPs,0.0
hpc,18,1024,Packed,0.0
hpc,18,1024,128-bit,0.0
hpc,18,1024,256-bit,0.0
hpc,18,1024,Scalar,0.0
hpc,18,1024,x87 FLOPs,0.0
hpc,18,1024,Non-FP,100.0
hpc,18,1024,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,18,1024,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,18,1024,Application Command Line,"backprop ""1024"""
hpc,18,1024,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,18,1024,Computer Name,quartz2744
hpc,18,1024,Result Size,3567698
hpc,18,1024,Collection start time,20:46:45 21/04/2021 UTC
hpc,18,1024,Collection stop time,20:46:45 21/04/2021 UTC
hpc,18,1024,Collector Type,Driverless Perf per-process sampling
hpc,18,1024,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,18,1024,Frequency,2095147426
hpc,18,1024,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,9,1024,Metric Name,Metric Value
tr,9,1024,Elapsed Time,0.206345
tr,9,1024,Paused Time,0.0
tr,9,1024,Effective CPU Utilization,0.1% (0.049 out of 72 logical CPUs)
tr,9,1024,OpenMP Analysis. Collection Time,0.206345
tr,9,1024,Serial Time (outside parallel regions),0.194s (93.9%)
tr,9,1024,Parallel Region Time,0.013s (6.1%)
tr,9,1024,Estimated Ideal Time,0.005s (2.4%)
tr,9,1024,OpenMP Potential Gain,0.008s (3.7%)
tr,9,1024,Total Thread Count,9
tr,9,1024,Thread Oversubscription,0s (0.0% of CPU Time)
tr,9,1024,Wait Time with poor CPU Utilization,0.033s (100.0% of Wait Time)
tr,9,1024,Spin and Overhead Time,0.290s (96.7% of CPU Time)
tr,9,1024,Application Command Line,"backprop ""1024"""
tr,9,1024,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,9,1024,Computer Name,quartz2744
tr,9,1024,Result Size,3585767
tr,9,1024,Collection start time,20:47:03 21/04/2021 UTC
tr,9,1024,Collection stop time,20:47:04 21/04/2021 UTC
tr,9,1024,Collector Type,User-mode sampling and tracing
tr,9,1024,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,9,1024,Frequency,2095148494
tr,9,1024,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,1024,Metric Name,Metric Value
hpc,9,1024,Elapsed Time,0.141683
hpc,9,1024,SP GFLOPS,0.0
hpc,9,1024,DP GFLOPS,0.0
hpc,9,1024,x87 GFLOPS,0.0
hpc,9,1024,CPI Rate,1.222222
hpc,9,1024,Average CPU Frequency,3545637143.230769
hpc,9,1024,Total Thread Count,9
hpc,9,1024,Effective Physical Core Utilization,1.8% (0.637 out of 36)
hpc,9,1024,Effective Logical Core Utilization,0.6% (0.424 out of 72)
hpc,9,1024,Serial Time (outside parallel regions),0.137s (96.8%)
hpc,9,1024,Parallel Region Time,0.004s (3.2%)
hpc,9,1024,Estimated Ideal Time,0.001s (1.0%)
hpc,9,1024,OpenMP Potential Gain,0.003s (2.2%)
hpc,9,1024,Memory Bound,29.0
hpc,9,1024,Cache Bound,77.9
hpc,9,1024,DRAM Bound,39.0
hpc,9,1024,NUMA: % of Remote Accesses,0.0
hpc,9,1024,Vectorization,0.0
hpc,9,1024,SP FLOPs,0.0
hpc,9,1024,Packed,0.0
hpc,9,1024,128-bit,0.0
hpc,9,1024,256-bit,0.0
hpc,9,1024,Scalar,0.0
hpc,9,1024,DP FLOPs,0.0
hpc,9,1024,Packed,0.0
hpc,9,1024,128-bit,0.0
hpc,9,1024,256-bit,0.0
hpc,9,1024,Scalar,0.0
hpc,9,1024,x87 FLOPs,0.0
hpc,9,1024,Non-FP,100.0
hpc,9,1024,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,9,1024,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,9,1024,Application Command Line,"backprop ""1024"""
hpc,9,1024,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,9,1024,Computer Name,quartz2744
hpc,9,1024,Result Size,3514678
hpc,9,1024,Collection start time,20:47:19 21/04/2021 UTC
hpc,9,1024,Collection stop time,20:47:19 21/04/2021 UTC
hpc,9,1024,Collector Type,Driverless Perf per-process sampling
hpc,9,1024,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,9,1024,Frequency,2095149221
hpc,9,1024,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,4,1024,Metric Name,Metric Value
tr,4,1024,Elapsed Time,0.137996
tr,4,1024,Paused Time,0.0
tr,4,1024,Effective CPU Utilization,0.0% (0.000 out of 72 logical CPUs)
tr,4,1024,OpenMP Analysis. Collection Time,0.137996
tr,4,1024,Serial Time (outside parallel regions),0.125s (90.4%)
tr,4,1024,Parallel Region Time,0.013s (9.6%)
tr,4,1024,Estimated Ideal Time,0.009s (6.9%)
tr,4,1024,OpenMP Potential Gain,0.004s (2.8%)
tr,4,1024,Total Thread Count,4
tr,4,1024,Thread Oversubscription,0s (0.0% of CPU Time)
tr,4,1024,Wait Time with poor CPU Utilization,0.001s (100.0% of Wait Time)
tr,4,1024,Spin and Overhead Time,0.080s (100.0% of CPU Time)
tr,4,1024,Application Command Line,"backprop ""1024"""
tr,4,1024,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,4,1024,Computer Name,quartz2744
tr,4,1024,Result Size,3591652
tr,4,1024,Collection start time,20:47:37 21/04/2021 UTC
tr,4,1024,Collection stop time,20:47:37 21/04/2021 UTC
tr,4,1024,Collector Type,User-mode sampling and tracing
