vtuneCategory,threadcount,inputinfo,metric,value
tr,18,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,18,10,Computer Name,quartz3070
tr,18,10,Result Size,3899674
tr,18,10,Collection start time,23:40:36 21/04/2021 UTC
tr,18,10,Collection stop time,23:40:37 21/04/2021 UTC
tr,18,10,Collector Type,User-mode sampling and tracing
tr,18,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,18,10,Frequency,2095148405
tr,18,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,10,Metric Name,Metric Value
hpc,18,10,Elapsed Time,0.493924
hpc,18,10,SP GFLOPS,0.0
hpc,18,10,DP GFLOPS,11.479512
hpc,18,10,x87 GFLOPS,0.0
hpc,18,10,CPI Rate,0.480579
hpc,18,10,Average CPU Frequency,2659978911.333022
hpc,18,10,Total Thread Count,18
hpc,18,10,Effective Physical Core Utilization,25.2% (9.055 out of 36)
hpc,18,10,Effective Logical Core Utilization,12.7% (9.112 out of 72)
hpc,18,10,Serial Time (outside parallel regions),0.197s (39.8%)
hpc,18,10,Parallel Region Time,0.297s (60.2%)
hpc,18,10,Estimated Ideal Time,0.243s (49.1%)
hpc,18,10,OpenMP Potential Gain,0.055s (11.1%)
hpc,18,10,Memory Bound,5.5
hpc,18,10,Cache Bound,1.3
hpc,18,10,DRAM Bound,0.0
hpc,18,10,NUMA: % of Remote Accesses,0.0
hpc,18,10,Vectorization,0.0
hpc,18,10,SP FLOPs,0.0
hpc,18,10,Packed,0.0
hpc,18,10,128-bit,0.0
hpc,18,10,256-bit,0.0
hpc,18,10,Scalar,0.0
hpc,18,10,DP FLOPs,25.8
hpc,18,10,Packed,0.0
hpc,18,10,128-bit,0.0
hpc,18,10,256-bit,0.0
hpc,18,10,Scalar,100.0
hpc,18,10,x87 FLOPs,0.0
hpc,18,10,Non-FP,74.2
hpc,18,10,FP Arith/Mem Rd Instr. Ratio,0.814456
hpc,18,10,FP Arith/Mem Wr Instr. Ratio,2.028928
hpc,18,10,Application Command Line,"lavaMD ""-cores"" ""18"" ""-boxes1d"" ""10"""
hpc,18,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,18,10,Computer Name,quartz3070
hpc,18,10,Result Size,5880939
hpc,18,10,Collection start time,23:40:54 21/04/2021 UTC
hpc,18,10,Collection stop time,23:40:55 21/04/2021 UTC
hpc,18,10,Collector Type,Driverless Perf per-process sampling
hpc,18,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,18,10,Frequency,2095148709
hpc,18,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,9,10,Metric Name,Metric Value
tr,9,10,Elapsed Time,0.766006
tr,9,10,Paused Time,0.0
tr,9,10,Effective CPU Utilization,7.4% (5.327 out of 72 logical CPUs)
tr,9,10,OpenMP Analysis. Collection Time,0.766006
tr,9,10,Serial Time (outside parallel regions),0.205s (26.7%)
tr,9,10,Parallel Region Time,0.561s (73.3%)
tr,9,10,Estimated Ideal Time,0.454s (59.2%)
tr,9,10,OpenMP Potential Gain,0.108s (14.0%)
tr,9,10,Total Thread Count,9
tr,9,10,Thread Oversubscription,0s (0.0% of CPU Time)
tr,9,10,Wait Time with poor CPU Utilization,0.132s (100.0% of Wait Time)
tr,9,10,Spin and Overhead Time,1.130s (21.9% of CPU Time)
tr,9,10,Application Command Line,"lavaMD ""-cores"" ""9"" ""-boxes1d"" ""10"""
