==124974== NVPROF is profiling process 124974, command: hotspot 64 2 2 ../../data/hotspot/temp_64 ../../data/hotspot/power_64 output.out
==124974== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==124974== Profiling application: hotspot 64 2 2 ../../data/hotspot/temp_64 ../../data/hotspot/power_64 output.out
==124974== Profiling result:
==124974== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions        2616        2616        2616
          1                     l2_write_transactions                                            L2 Write Transactions         720         720         720
          1                    dram_read_transactions                                  Device Memory Read Transactions           0           0           0
          1                   dram_write_transactions                                 Device Memory Write Transactions           8           8           8
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  9.6232GB/s  9.6232GB/s  9.6232GB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  2.7931GB/s  2.7931GB/s  2.7931GB/s
          1                            gld_throughput                                           Global Load Throughput  13.747GB/s  13.747GB/s  13.747GB/s
          1                            gst_throughput                                          Global Store Throughput  3.8405GB/s  3.8405GB/s  3.8405GB/s
          1                     local_memory_overhead                                            Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate       0.00%       0.00%       0.00%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)     100.00%     100.00%     100.00%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)     100.00%     100.00%     100.00%
          1                      dram_read_throughput                                    Device Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                     dram_write_throughput                                   Device Memory Write Throughput  44.690MB/s  44.690MB/s  44.690MB/s
          1                      tex_cache_throughput                       Unified cache to Multiprocessor throughput  91.387GB/s  91.387GB/s  91.387GB/s
          1                    l2_tex_read_throughput                                    L2 Throughput (Texture Reads)  13.747GB/s  13.747GB/s  13.747GB/s
          1                   l2_tex_write_throughput                                   L2 Throughput (Texture Writes)  3.8405GB/s  3.8405GB/s  3.8405GB/s
          1                        l2_read_throughput                                            L2 Throughput (Reads)  14.271GB/s  14.271GB/s  14.271GB/s
          1                       l2_write_throughput                                           L2 Throughput (Writes)  3.9278GB/s  3.9278GB/s  3.9278GB/s
          1                    sysmem_read_throughput                                    System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                   System Memory Write Throughput  27.931MB/s  27.931MB/s  27.931MB/s
          1                     local_load_throughput                                     Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                                    Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                                    Shared Memory Load Throughput  67.929GB/s  67.929GB/s  67.929GB/s
          1                   shared_store_throughput                                   Shared Memory Store Throughput  26.185GB/s  26.185GB/s  26.185GB/s
          1                            gld_efficiency                                    Global Memory Load Efficiency      70.00%      70.00%      70.00%
          1                            gst_efficiency                                   Global Memory Store Efficiency      72.73%      72.73%      72.73%
          1                    tex_cache_transactions                     Unified cache to Multiprocessor transactions        4188        4188        4188
          1                             flop_count_dp                      Floating Point Operations(Double Precision)       95720       95720       95720
          1                         flop_count_dp_add                  Floating Point Operations(Double Precision Add)       38288       38288       38288
          1                         flop_count_dp_fma                  Floating Point Operations(Double Precision FMA)       28716       28716       28716
